lambda_priority,lambda_substitution,lambda_waste,mean_waste_proxy_rate,mean_quantity_fulfillment_rate,mean_complete_order_fulfillment_rate,mean_weighted_service_value
2.0,1.0,3.0,0.0064633281995344774,0.7881332332499138,0.6597087377963292,728.3616666666666
2.0,1.0,6.0,0.0064633281995344774,0.7881332332499138,0.6597087377963292,728.3616666666666
2.0,1.0,9.0,0.0064633281995344774,0.7881332332499138,0.6597087377963292,728.3616666666666
2.0,2.0,3.0,0.0064633281995344774,0.7881332332499138,0.6570263753559021,727.2816666666665
2.0,2.0,6.0,0.0064633281995344774,0.7881332332499138,0.6570263753559021,727.2816666666665
2.0,2.0,9.0,0.0064633281995344774,0.7881332332499138,0.6570263753559021,727.2816666666665
2.0,4.0,3.0,0.0064633281995344774,0.7881332332499138,0.6568591512756347,725.2216666666667
2.0,4.0,6.0,0.0064633281995344774,0.7881332332499138,0.6568591512756347,725.2216666666667
2.0,4.0,9.0,0.0064633281995344774,0.7881332332499138,0.6568591512756347,725.2216666666667
4.0,1.0,3.0,0.0064633281995344774,0.7881332332499138,0.6585593125089729,728.505
4.0,1.0,6.0,0.0064633281995344774,0.7881332332499138,0.6585593125089729,728.505
4.0,1.0,9.0,0.0064633281995344774,0.7881332332499138,0.6585593125089729,728.505
4.0,2.0,3.0,0.0064633281995344774,0.7881332332499138,0.6597087377963292,728.3616666666666
4.0,2.0,6.0,0.0064633281995344774,0.7881332332499138,0.6597087377963292,728.3616666666666
4.0,2.0,9.0,0.0064633281995344774,0.7881332332499138,0.6597087377963292,728.3616666666666
4.0,4.0,3.0,0.0064633281995344774,0.7881332332499138,0.6570263753559021,727.2816666666665
4.0,4.0,6.0,0.0064633281995344774,0.7881332332499138,0.6570263753559021,727.2816666666665
4.0,4.0,9.0,0.0064633281995344774,0.7881332332499138,0.6570263753559021,727.2816666666665
6.0,1.0,3.0,0.0064633281995344774,0.7881332332499138,0.6608514648011252,728.6250000000001
6.0,1.0,6.0,0.0064633281995344774,0.7881332332499138,0.6608514648011252,728.6250000000001
6.0,1.0,9.0,0.0064633281995344774,0.7881332332499138,0.6608514648011252,728.6250000000001
6.0,2.0,3.0,0.0064633281995344774,0.7881332332499138,0.6597087377963292,728.395
6.0,2.0,6.0,0.0064633281995344774,0.7881332332499138,0.6597087377963292,728.395
6.0,2.0,9.0,0.0064633281995344774,0.7881332332499138,0.6597087377963292,728.395
6.0,4.0,3.0,0.0064633281995344774,0.7881332332499138,0.6600025658320926,727.8516666666667
6.0,4.0,6.0,0.0064633281995344774,0.7881332332499138,0.6600025658320926,727.8516666666667
6.0,4.0,9.0,0.0064633281995344774,0.7881332332499138,0.6600025658320926,727.8516666666667
