field,tp,fp,fn,precision,recall,f1,exact_match_rate
Customer,811,12,32,0.9854191980558931,0.9620403321470937,0.9735894357743098,0.9620403321470937
Product,799,18,44,0.97796817625459,0.9478054567022538,0.9626506024096386,0.9478054567022538
Quantity_kg,765,42,78,0.9479553903345725,0.9074733096085409,0.9272727272727272,0.9074733096085409
Grade,795,20,48,0.9754601226993865,0.9430604982206405,0.9589867310012063,0.9430604982206405
Delivery_date,817,5,26,0.9939172749391727,0.9691577698695136,0.9813813813813813,0.9691577698695136
Substitution,775,30,68,0.9627329192546584,0.9193357058125742,0.9405339805825244,0.9193357058125742
