scenario,lambda_priority,lambda_substitution,lambda_waste,mean_waste_proxy_rate,mean_quantity_fulfillment_rate,mean_complete_order_fulfillment_rate,mean_weighted_service_value
Base,4.0,2.0,6.0,0.0064633281995344774,0.7881332332499138,0.6597087377963292,728.3616666666666
No priority weight,0.0,2.0,6.0,0.0064633281995344774,0.7881332332499138,0.6591015675091682,708.5400000000001
No substitution penalty,4.0,0.0,6.0,0.0064633281995344774,0.7881332332499138,0.6619267336183295,728.6483333333333
No waste penalty,4.0,2.0,0.0,0.0064633281995344774,0.7881332332499138,0.6597087377963292,728.3616666666666
